Timestamp mS,Time this cycle,Link 0 active,Link 0 distance,Link 0 RX Power,Link 1 active,Link 1 distance,Link 1 RX Power,Link 2 active,Link 2 distance,Link 2 RX Power,Link 3 active,Link 3 distance,Link 3 RX Power,Link 4 active,Link 4 distance,Link 4 RX Power,Link 5 active,Link 5 distance,Link 5 RX Power
1754,1754,1,0.75,-55.47,1,0.64,-52.88,0,-999,-999,1,1.03,-52.95,1,0.84,-52.78,1,0.55,-55.48
2428,674,1,0.81,-52.07,1,0.62,-52.68,0,-999,-999,1,1.12,-53.48,1,0.84,-54.24,1,0.52,-55.39
2963,535,1,0.83,-52.54,1,0.68,-53.71,0,-999,-999,1,1.04,-54.13,1,0.85,-53.78,1,0.52,-55.98
3510,547,1,0.79,-52.70,1,0.67,-53.11,0,-999,-999,1,1.20,-54.28,0,-999,-999,1,0.52,-55.43
3859,349,1,0.76,-52.41,1,0.64,-51.92,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
4070,211,1,0.85,-59.97,1,0.67,-53.28,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
4281,211,1,0.78,-56.54,1,0.67,-52.64,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
4492,211,1,0.81,-53.99,1,0.65,-52.64,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
4702,210,1,0.78,-53.88,1,0.68,-52.58,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
4913,211,1,0.80,-53.05,1,0.63,-53.17,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
5375,462,1,0.79,-54.18,1,0.67,-52.62,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
5764,389,1,0.71,-54.01,1,0.67,-52.84,1,0.81,-56.21,0,-999,-999,0,-999,-999,0,-999,-999
6043,279,1,0.82,-55.17,1,0.67,-53.11,1,0.95,-53.30,0,-999,-999,0,-999,-999,0,-999,-999
6322,279,1,0.80,-53.35,1,0.66,-52.82,1,1.00,-53.29,0,-999,-999,0,-999,-999,0,-999,-999
6602,280,1,0.78,-53.82,1,0.65,-52.77,1,0.89,-52.66,0,-999,-999,0,-999,-999,0,-999,-999
7020,418,1,0.81,-53.28,1,0.63,-52.19,1,0.96,-53.71,0,-999,-999,0,-999,-999,0,-999,-999
7546,526,1,0.77,-53.73,1,0.67,-52.05,1,0.88,-53.61,0,-999,-999,0,-999,-999,0,-999,-999
7935,389,1,0.85,-53.78,1,0.64,-55.94,1,0.97,-53.29,0,-999,-999,0,-999,-999,0,-999,-999
8215,280,1,0.81,-51.93,1,0.68,-52.76,1,0.82,-53.26,0,-999,-999,0,-999,-999,0,-999,-999
8494,279,1,0.80,-53.90,1,0.60,-51.87,1,0.92,-53.77,0,-999,-999,0,-999,-999,0,-999,-999
8774,280,1,0.77,-52.08,1,0.61,-52.79,1,0.91,-53.58,0,-999,-999,0,-999,-999,0,-999,-999
9053,279,1,0.81,-54.24,1,0.63,-52.81,1,0.92,-52.64,0,-999,-999,0,-999,-999,0,-999,-999
9470,417,1,0.75,-53.10,1,0.67,-52.91,1,0.84,-53.31,0,-999,-999,0,-999,-999,0,-999,-999
9750,280,1,0.84,-51.82,1,0.64,-51.92,1,0.91,-53.12,0,-999,-999,0,-999,-999,0,-999,-999
10248,498,1,0.79,-54.58,1,0.65,-52.75,1,0.90,-53.36,0,-999,-999,0,-999,-999,0,-999,-999
10637,389,1,0.79,-52.60,1,0.66,-52.61,1,0.96,-53.47,0,-999,-999,0,-999,-999,0,-999,-999
10917,280,1,0.68,-57.06,1,0.61,-52.11,1,0.85,-52.45,0,-999,-999,0,-999,-999,0,-999,-999
11306,389,1,0.81,-55.06,1,0.68,-52.36,1,0.92,-53.40,0,-999,-999,0,-999,-999,0,-999,-999
