Timestamp mS,Time this cycle,Link 0 active,Link 0 distance,Link 0 RX Power,Link 1 active,Link 1 distance,Link 1 RX Power,Link 2 active,Link 2 distance,Link 2 RX Power,Link 3 active,Link 3 distance,Link 3 RX Power,Link 4 active,Link 4 distance,Link 4 RX Power,Link 5 active,Link 5 distance,Link 5 RX Power
14257,1480,1,9.46,-98.60,0,-999,-999,0,-999,-999,1,9.67,-96.06,0,-999,-999,0,-999,-999
15463,1206,1,9.55,-95.45,0,-999,-999,0,-999,-999,1,9.71,-95.21,1,14.16,-90.32,1,9.20,-81.54
16283,820,1,9.55,-96.37,0,-999,-999,1,23.33,-95.49,1,9.67,-95.16,1,14.16,-91.89,1,9.21,-83.02
17218,935,1,9.50,-97.71,0,-999,-999,1,23.34,-97.02,0,-999,-999,0,-999,-999,0,-999,-999
17966,748,1,9.49,-99.03,0,-999,-999,1,23.31,-96.08,1,9.72,-94.79,1,14.15,-92.38,1,9.26,-78.12
19683,1717,1,9.50,-95.34,0,-999,-999,1,23.27,-94.58,1,9.76,-94.18,1,14.19,-91.12,1,9.22,-80.51
20214,531,1,9.50,-94.87,0,-999,-999,1,23.31,-94.68,1,9.71,-93.15,1,14.16,-91.57,1,9.22,-82.92
20745,531,1,9.56,-95.24,0,-999,-999,1,23.27,-94.54,1,9.71,-93.12,1,14.12,-91.46,1,9.20,-80.33
21565,820,1,9.56,-95.51,0,-999,-999,1,23.26,-93.32,1,9.72,-93.32,1,14.08,-91.95,1,9.21,-80.17
22096,531,1,9.52,-94.97,0,-999,-999,1,23.30,-96.16,1,9.78,-91.98,1,14.09,-91.87,1,9.22,-80.35
22627,531,1,9.54,-94.80,0,-999,-999,1,23.31,-95.82,1,9.76,-92.44,1,14.15,-91.30,1,9.18,-80.96
24344,1717,1,9.53,-94.93,0,-999,-999,1,23.30,-96.55,1,9.78,-92.80,1,14.13,-92.07,1,9.20,-81.41
24875,531,1,9.54,-93.78,0,-999,-999,1,23.30,-96.21,1,9.76,-93.16,1,14.13,-92.27,1,9.17,-81.56
25406,531,1,9.54,-93.69,0,-999,-999,1,23.25,-96.78,1,9.77,-98.65,1,14.14,-91.82,1,9.24,-80.41
26226,820,1,9.51,-92.67,0,-999,-999,1,23.33,-96.19,1,9.80,-93.03,1,14.18,-91.27,1,9.22,-80.81
26756,530,1,9.55,-92.99,0,-999,-999,1,23.29,-97.58,1,9.79,-93.17,1,14.15,-91.71,1,9.21,-81.11
27287,531,1,9.54,-92.38,0,-999,-999,1,23.31,-96.62,1,9.78,-93.28,1,14.14,-91.28,1,9.21,-80.24
29004,1717,1,9.51,-92.79,0,-999,-999,1,23.30,-96.25,1,9.76,-93.29,1,14.22,-89.42,1,9.25,-79.51
29535,531,1,9.55,-93.57,0,-999,-999,1,23.27,-97.27,1,9.78,-93.50,1,14.10,-91.79,1,9.21,-82.96
30065,530,1,9.56,-93.86,0,-999,-999,1,23.27,-97.09,1,9.74,-93.82,1,14.17,-91.77,1,9.20,-82.23
30885,820,1,9.51,-94.56,0,-999,-999,1,23.32,-96.99,1,9.77,-93.20,1,14.11,-91.74,1,9.17,-80.54
31415,530,1,9.58,-94.53,0,-999,-999,1,23.29,-96.83,1,9.72,-92.92,1,14.11,-93.62,1,9.18,-79.83
31945,530,1,9.56,-93.69,0,-999,-999,1,23.31,-96.75,1,9.81,-93.64,1,14.17,-95.84,1,9.18,-83.52
33782,1837,1,9.59,-93.80,0,-999,-999,1,23.34,-97.61,1,9.72,-92.85,1,14.12,-97.31,1,9.16,-83.97
34554,772,1,9.52,-94.68,0,-999,-999,1,23.27,-95.72,1,9.76,-93.98,0,-999,-999,1,9.22,-79.37
35326,772,1,9.56,-91.47,0,-999,-999,1,23.24,-100.14,1,9.74,-93.88,0,-999,-999,1,9.14,-96.34
36806,1480,1,9.50,-94.62,0,-999,-999,0,-999,-999,1,9.77,-93.09,0,-999,-999,0,-999,-999
38285,1479,1,9.56,-93.18,0,-999,-999,0,-999,-999,1,9.85,-94.30,0,-999,-999,0,-999,-999
39764,1479,1,9.51,-98.33,0,-999,-999,0,-999,-999,1,9.72,-95.41,0,-999,-999,0,-999,-999
41738,1974,1,9.54,-96.11,1,15.15,-103.67,0,-999,-999,1,9.79,-93.36,0,-999,-999,0,-999,-999
42738,1000,1,9.59,-93.67,0,-999,-999,0,-999,-999,1,9.79,-93.54,0,-999,-999,0,-999,-999
43576,838,1,9.54,-92.93,0,-999,-999,0,-999,-999,1,9.82,-92.72,0,-999,-999,0,-999,-999
44523,947,1,9.53,-94.67,0,-999,-999,0,-999,-999,1,9.78,-93.87,0,-999,-999,0,-999,-999
44864,341,1,9.53,-93.53,1,15.09,-98.93,0,-999,-999,1,9.91,-97.72,0,-999,-999,0,-999,-999
45314,450,1,9.51,-93.11,1,15.15,-90.48,0,-999,-999,1,9.72,-88.09,0,-999,-999,0,-999,-999
46432,1118,1,9.47,-97.29,1,15.09,-94.50,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
