Timestamp mS,Time this cycle,Link 0 active,Link 0 distance,Link 0 RX Power,Link 1 active,Link 1 distance,Link 1 RX Power,Link 2 active,Link 2 distance,Link 2 RX Power,Link 3 active,Link 3 distance,Link 3 RX Power,Link 4 active,Link 4 distance,Link 4 RX Power,Link 5 active,Link 5 distance,Link 5 RX Power
1933,1933,1,20.99,-88.81,1,6.00,-82.06,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
2901,968,1,20.54,-93.75,1,5.62,-92.06,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
3299,398,1,19.53,-94.31,1,4.85,-93.49,0,-999,-999,1,16.70,-102.84,0,-999,-999,0,-999,-999
3705,406,1,19.17,-96.84,1,4.81,-88.29,0,-999,-999,1,16.62,-101.31,0,-999,-999,0,-999,-999
4040,335,1,19.12,-95.21,1,4.41,-91.17,0,-999,-999,1,16.64,-100.37,0,-999,-999,0,-999,-999
4716,676,1,18.52,-95.25,1,4.35,-85.42,0,-999,-999,1,16.59,-103.39,0,-999,-999,0,-999,-999
5410,694,1,17.83,-86.56,1,3.93,-79.24,0,-999,-999,1,16.77,-101.41,0,-999,-999,0,-999,-999
5745,335,1,17.58,-89.03,1,3.67,-83.04,0,-999,-999,1,16.75,-101.75,0,-999,-999,0,-999,-999
6080,335,1,17.11,-95.21,1,3.40,-91.05,0,-999,-999,1,16.82,-102.20,0,-999,-999,0,-999,-999
6644,564,1,16.77,-91.74,1,3.49,-72.73,0,-999,-999,1,16.89,-100.03,0,-999,-999,0,-999,-999
7089,445,1,16.26,-90.30,1,3.60,-90.14,0,-999,-999,1,16.77,-100.61,0,-999,-999,0,-999,-999
7439,350,1,15.75,-90.40,1,3.49,-72.96,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
7947,508,1,15.30,-89.21,1,3.05,-89.21,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
8157,210,1,15.25,-89.41,1,3.27,-80.15,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
8475,318,1,14.89,-88.90,1,2.94,-88.36,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
8794,319,1,14.73,-79.17,1,2.86,-79.75,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
9004,210,1,14.51,-90.11,1,2.96,-72.94,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
9546,542,1,14.45,-94.97,1,2.78,-77.17,0,-999,-999,1,16.84,-98.01,0,-999,-999,1,9.66,-90.48
10988,1442,0,-999,-999,1,3.01,-84.46,0,-999,-999,0,-999,-999,0,-999,-999,1,9.68,-90.71
11511,523,1,12.29,-88.57,1,3.95,-94.01,0,-999,-999,1,16.79,-98.82,0,-999,-999,1,9.67,-90.88
11915,404,1,12.09,-80.07,1,4.52,-88.34,0,-999,-999,1,16.90,-97.53,0,-999,-999,1,9.66,-91.06
12926,1011,1,11.72,-77.45,1,4.90,-99.05,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
13683,757,1,10.77,-74.87,1,5.89,-98.90,0,-999,-999,1,16.70,-99.44,1,24.71,-94.13,1,9.67,-90.80
14153,470,1,10.29,-78.45,1,6.51,-100.75,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
14954,801,1,9.55,-79.43,1,7.00,-99.28,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
15173,219,1,9.38,-78.13,1,7.26,-97.26,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
15393,220,1,9.31,-77.87,1,7.37,-91.83,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
15613,220,1,9.14,-78.70,1,7.38,-89.79,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
15832,219,1,9.17,-74.71,1,7.26,-89.50,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
16301,469,1,9.21,-74.00,1,7.28,-76.73,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
16819,518,1,9.21,-78.46,1,7.10,-93.18,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
17537,718,1,9.47,-73.22,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
18084,547,1,9.75,-71.65,1,6.71,-74.72,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
18303,219,1,9.85,-71.53,1,6.57,-72.22,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
18523,220,1,9.96,-69.06,1,6.51,-70.20,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
18852,329,1,10.12,-71.84,1,6.11,-77.62,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
19511,659,1,10.41,-74.55,1,5.80,-72.61,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
19839,328,1,10.77,-81.49,1,5.32,-74.63,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
20059,220,1,10.81,-88.48,1,5.20,-77.20,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
20279,220,1,11.08,-84.36,1,4.94,-74.64,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
20499,220,1,11.30,-82.28,1,4.70,-76.55,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
20827,328,1,11.40,-88.18,1,4.63,-66.74,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
21689,862,1,11.81,-91.81,1,4.05,-76.12,1,12.32,-95.14,0,-999,-999,0,-999,-999,1,9.66,-91.17
22124,435,1,12.39,-94.97,1,3.60,-80.88,1,11.94,-88.53,0,-999,-999,0,-999,-999,1,9.62,-90.56
