Timestamp mS,Time this cycle,Link 0 active,Link 0 distance,Link 0 RX Power,Link 1 active,Link 1 distance,Link 1 RX Power,Link 2 active,Link 2 distance,Link 2 RX Power,Link 3 active,Link 3 distance,Link 3 RX Power,Link 4 active,Link 4 distance,Link 4 RX Power,Link 5 active,Link 5 distance,Link 5 RX Power
2992,2992,1,11.53,-90.95,0,-999,-999,1,60.25,-103.27,1,16.51,-99.43,1,48.10,-100.76,0,-999,-999
4356,1364,1,11.51,-91.73,0,-999,-999,1,60.24,-102.76,1,16.51,-99.83,1,48.12,-99.72,1,34.32,-102.33
5789,1433,1,11.47,-91.02,0,-999,-999,1,60.27,-103.14,1,16.54,-98.77,1,48.18,-102.23,1,34.37,-101.40
7441,1652,1,11.43,-90.25,0,-999,-999,1,60.14,-104.12,1,16.50,-97.61,1,48.13,-101.03,1,34.32,-105.03
8883,1442,1,11.24,-93.62,0,-999,-999,1,60.09,-101.45,1,16.77,-93.56,1,48.25,-99.22,1,34.32,-100.51
9910,1027,1,11.17,-93.67,0,-999,-999,0,-999,-999,1,16.77,-90.27,1,48.17,-99.98,1,34.34,-99.52
11738,1828,1,11.11,-97.45,0,-999,-999,0,-999,-999,1,16.52,-98.82,0,-999,-999,1,34.34,-100.72
13403,1665,1,11.14,-94.81,0,-999,-999,0,-999,-999,1,16.52,-95.94,0,-999,-999,1,34.31,-101.90
14430,1027,1,11.12,-96.92,0,-999,-999,0,-999,-999,1,16.60,-93.63,1,48.10,-100.91,1,34.29,-100.86
15806,1376,1,11.16,-96.99,0,-999,-999,0,-999,-999,1,16.57,-93.26,1,48.12,-101.50,1,34.29,-100.98
16627,821,1,11.13,-97.75,0,-999,-999,0,-999,-999,1,16.58,-95.71,1,48.05,-101.59,1,34.27,-100.64
17099,472,1,11.30,-91.64,0,-999,-999,0,-999,-999,1,16.60,-94.29,1,47.99,-103.65,1,34.25,-101.51
18297,1198,1,11.70,-91.84,1,26.26,-99.36,0,-999,-999,1,16.58,-92.33,1,48.02,-100.91,1,34.27,-98.77
19186,889,1,11.62,-91.76,1,26.26,-99.26,0,-999,-999,1,16.58,-92.53,1,48.00,-102.98,1,34.34,-99.46
19786,600,1,11.58,-90.99,1,26.20,-101.41,0,-999,-999,1,16.58,-92.25,1,48.06,-100.31,1,34.40,-97.21
20676,890,1,11.65,-90.72,1,26.28,-99.89,0,-999,-999,1,16.54,-93.89,1,48.04,-101.23,1,34.38,-98.07
21506,830,1,11.63,-85.70,1,26.33,-100.78,0,-999,-999,1,16.57,-94.39,1,48.07,-102.49,1,34.40,-96.44
22047,541,1,11.63,-90.04,1,26.23,-101.53,0,-999,-999,1,16.54,-94.53,1,48.18,-103.55,1,34.47,-96.33
23438,1391,1,11.59,-91.52,1,26.23,-100.32,0,-999,-999,1,16.53,-94.64,0,-999,-999,1,34.34,-98.73
24377,939,1,11.37,-91.42,1,26.23,-101.75,0,-999,-999,1,16.57,-95.43,1,48.08,-99.91,1,34.22,-99.39
24918,541,1,11.24,-93.05,1,26.24,-102.37,0,-999,-999,1,16.54,-94.65,1,48.11,-99.97,1,34.25,-99.56
25868,950,1,11.17,-94.56,1,26.26,-100.35,0,-999,-999,1,16.59,-96.63,1,48.06,-101.24,1,34.18,-100.00
26758,890,1,11.25,-91.79,1,26.20,-101.56,0,-999,-999,1,16.57,-95.01,1,48.12,-101.32,1,34.34,-99.95
27477,719,1,11.30,-92.22,1,26.18,-100.63,0,-999,-999,1,16.59,-95.46,1,48.18,-103.28,1,34.31,-99.78
29083,1606,1,11.42,-90.75,1,26.23,-103.03,0,-999,-999,1,16.54,-95.29,1,48.05,-102.98,1,34.29,-98.15
30212,1129,1,11.23,-90.15,1,26.28,-100.91,0,-999,-999,1,16.51,-96.47,0,-999,-999,1,34.29,-100.46
30752,540,1,11.18,-90.49,1,26.20,-99.79,0,-999,-999,1,16.45,-95.92,1,47.94,-101.66,1,34.29,-102.53
31582,830,1,11.14,-90.15,1,26.20,-101.78,0,-999,-999,1,16.45,-97.10,1,48.05,-100.92,1,34.40,-98.88
32532,950,1,11.46,-90.70,1,26.23,-100.75,0,-999,-999,1,16.59,-94.74,1,48.11,-103.20,1,34.45,-98.43
33315,783,1,11.20,-90.54,1,26.18,-101.94,0,-999,-999,1,16.52,-93.90,0,-999,-999,1,34.34,-98.65
34706,1391,1,11.14,-92.94,1,26.11,-101.98,0,-999,-999,1,16.49,-95.48,0,-999,-999,1,34.43,-98.41
35776,1070,1,11.13,-93.08,1,26.25,-101.35,0,-999,-999,1,16.36,-97.89,0,-999,-999,1,34.29,-99.72
36558,782,1,11.12,-92.88,1,26.14,-102.80,0,-999,-999,1,16.51,-97.33,0,-999,-999,1,34.41,-98.86
37527,969,1,11.19,-93.73,1,26.19,-102.38,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
38575,1048,1,11.29,-82.93,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
39624,1049,1,11.48,-88.05,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
