Cycle ID,Cycle time [mS],Origin Addr,Destiny Addr,Distance (m),RX Power (dBm),Active
0,2030,C1,B3,14.19,-94.01,1
0,2030,C1,B4,17.51,-88.80,1
0,2030,B3,B2,31.38,-100.68,1
0,2030,B3,B4,32.71,-92.47,1
1,473,C1,B3,14.25,-95.44,1
1,473,C1,B4,17.33,-88.83,1
1,473,B3,B2,31.33,-101.18,1
1,473,B3,B4,32.66,-93.21,1
2,363,C1,B3,14.24,-91.68,1
2,363,C1,B4,17.33,-89.58,1
2,363,B3,B2,31.43,-101.11,1
2,363,B3,B4,32.71,-93.10,1
3,363,C1,B3,14.23,-92.01,1
3,363,C1,B4,17.43,-89.57,1
3,363,B3,B2,31.37,-100.97,1
3,363,B3,B4,32.68,-92.65,1
4,363,C1,B3,14.19,-91.90,1
4,363,C1,B4,17.41,-90.52,1
4,363,B3,B2,31.39,-101.51,1
4,363,B3,B4,32.68,-92.14,1
5,363,C1,B3,14.23,-92.26,1
5,363,C1,B4,17.34,-90.70,1
5,363,B3,B2,31.43,-100.39,1
5,363,B3,B4,32.65,-92.02,1
6,363,C1,B3,14.28,-91.97,1
6,363,C1,B4,17.38,-89.47,1
6,363,B3,B2,31.42,-100.90,1
6,363,B3,B4,32.66,-92.49,1
7,363,C1,B3,14.28,-90.06,1
7,363,C1,B4,17.36,-90.00,1
7,363,B3,B2,31.42,-100.64,1
7,363,B3,B4,32.73,-92.48,1
8,363,C1,B3,14.24,-89.62,1
8,363,C1,B4,17.35,-89.22,1
8,363,B3,B2,31.41,-100.85,1
8,363,B3,B4,32.66,-92.28,1
9,472,C1,B3,14.26,-89.59,1
9,472,C1,B4,17.35,-88.86,1
9,472,B3,B2,31.30,-101.25,1
9,472,B3,B4,32.68,-92.39,1
10,478,C1,B3,14.31,-89.81,1
10,478,C1,B4,17.38,-88.52,1
10,478,B3,B2,31.37,-100.58,1
10,478,B3,B4,32.73,-92.51,1
11,363,C1,B3,14.30,-92.42,1
11,363,C1,B4,17.38,-88.39,1
11,363,B3,B2,31.35,-101.40,1
11,363,B3,B4,32.71,-92.31,1
12,583,C1,B3,14.25,-95.96,1
12,583,C1,B4,17.42,-89.28,1
12,583,B3,B2,31.36,-101.78,1
12,583,B3,B4,32.66,-92.38,1
13,363,C1,B3,14.02,-99.30,1
13,363,C1,B4,17.41,-89.41,1
13,363,B3,B2,31.38,-101.41,1
13,363,B3,B4,32.72,-92.57,1
14,652,C1,B3,14.24,-93.68,1
14,652,C1,B4,17.42,-88.20,1
14,652,B3,B2,31.37,-100.88,1
14,652,B3,B4,32.68,-92.57,1
15,1293,C1,B3,-999.00,-999.00,0
15,1293,C1,B4,-999.00,-999.00,0
15,1293,B3,B2,-999.00,-999.00,0
15,1293,B3,B4,-999.00,-999.00,0
15,1293,C1,B2,45.44,-95.18,1
16,1995,C1,B3,14.50,-95.08,1
16,1995,C1,B4,-999.00,-999.00,0
16,1995,B3,B2,-999.00,-999.00,0
16,1995,B3,B4,32.70,-93.32,1
16,1995,C1,B2,-999.00,-999.00,0
17,326,C1,B3,15.42,-95.37,1
17,326,C1,B4,-999.00,-999.00,0
17,326,B3,B2,-999.00,-999.00,0
17,326,B3,B4,32.70,-93.55,1
17,326,C1,B2,46.50,-100.22,1
18,326,C1,B3,15.61,-91.34,1
18,326,C1,B4,-999.00,-999.00,0
18,326,B3,B2,-999.00,-999.00,0
18,326,B3,B4,32.72,-92.27,1
18,326,C1,B2,46.74,-94.95,1
19,326,C1,B3,15.84,-98.51,1
19,326,C1,B4,-999.00,-999.00,0
19,326,B3,B2,-999.00,-999.00,0
19,326,B3,B4,32.71,-92.46,1
19,326,C1,B2,46.96,-98.02,1
20,326,C1,B3,16.32,-93.85,1
20,326,C1,B4,-999.00,-999.00,0
20,326,B3,B2,-999.00,-999.00,0
20,326,B3,B4,32.73,-92.80,1
20,326,C1,B2,47.34,-96.51,1
21,435,C1,B3,16.67,-97.89,1
21,435,C1,B4,-999.00,-999.00,0
21,435,B3,B2,-999.00,-999.00,0
21,435,B3,B4,32.68,-92.98,1
21,435,C1,B2,47.61,-95.89,1
22,326,C1,B3,16.97,-89.07,1
22,326,C1,B4,-999.00,-999.00,0
22,326,B3,B2,-999.00,-999.00,0
22,326,B3,B4,32.66,-93.65,1
22,326,C1,B2,48.08,-103.48,1
23,326,C1,B3,17.18,-93.55,1
23,326,C1,B4,-999.00,-999.00,0
23,326,B3,B2,-999.00,-999.00,0
23,326,B3,B4,32.64,-94.02,1
23,326,C1,B2,48.30,-97.57,1
24,326,C1,B3,17.47,-97.90,1
24,326,C1,B4,-999.00,-999.00,0
24,326,B3,B2,-999.00,-999.00,0
24,326,B3,B4,32.71,-89.65,1
24,326,C1,B2,48.52,-89.52,1
25,326,C1,B3,17.63,-97.63,1
25,326,C1,B4,-999.00,-999.00,0
25,326,B3,B2,-999.00,-999.00,0
25,326,B3,B4,32.68,-91.25,1
25,326,C1,B2,48.83,-90.03,1
26,326,C1,B3,17.92,-93.91,1
26,326,C1,B4,-999.00,-999.00,0
26,326,B3,B2,-999.00,-999.00,0
26,326,B3,B4,32.77,-89.39,1
26,326,C1,B2,49.02,-89.27,1
27,326,C1,B3,18.01,-79.38,1
27,326,C1,B4,-999.00,-999.00,0
27,326,B3,B2,-999.00,-999.00,0
27,326,B3,B4,32.72,-89.59,1
27,326,C1,B2,49.19,-90.54,1
