Distance (m),RX Power (dBm)
7.73,-94.11
7.13,-95.68
7.69,-94.24
7.26,-96.81
7.42,-94.80
7.40,-98.65
7.85,-95.37
7.34,-97.04
7.30,-100.28
7.81,-96.82
7.10,-93.08
7.20,-97.37
7.70,-96.51
7.41,-90.94
6.92,-84.55
6.89,-84.21
6.82,-91.31
6.23,-81.36
6.10,-74.42
6.00,-74.04
5.80,-77.39
5.67,-76.83
5.50,-80.82
5.34,-76.52
5.03,-94.21
4.56,-86.08
4.61,-88.29
4.48,-86.91
4.58,-73.60
4.47,-68.89
4.36,-69.85
4.35,-76.21
4.11,-67.11
4.04,-69.91
4.04,-69.31
3.54,-69.50
3.38,-69.00
3.15,-69.56
2.94,-75.40
2.85,-72.15
2.67,-70.35
2.60,-75.37
2.50,-74.53
2.47,-70.86
2.44,-71.08
2.33,-73.11
2.35,-72.34
2.21,-76.81
2.21,-68.56
2.22,-67.09
2.32,-82.54
2.31,-82.67
2.28,-82.71
2.83,-81.59
2.37,-82.40
2.59,-85.36
2.71,-89.12
2.77,-89.43
2.51,-82.65
3.10,-82.91
2.96,-88.53
3.46,-86.37
3.23,-90.12
3.15,-89.31
3.05,-85.56
3.44,-92.84
3.50,-89.21
4.29,-90.29
4.41,-78.64
4.57,-91.02
4.94,-91.16
5.13,-90.31
5.27,-87.79
5.54,-81.12
5.63,-85.77
5.67,-90.26
5.95,-88.87
6.10,-83.40
6.33,-88.79
6.27,-88.62
6.47,-84.51
6.81,-73.41
7.35,-86.71
7.54,-79.00
7.63,-88.53
7.88,-89.64
8.07,-90.25
8.19,-89.23
8.28,-90.37
8.45,-88.63
8.65,-79.76
8.92,-81.48
9.02,-82.45
9.22,-80.86
9.30,-78.13
9.09,-91.12
9.43,-95.39
9.95,-92.27
9.89,-101.85
9.83,-94.20
9.34,-93.80
9.34,-89.87
9.52,-88.15
9.57,-89.95
9.97,-77.20
10.10,-81.49
10.14,-88.91
10.27,-88.83
10.61,-76.94
10.72,-87.05
10.98,-93.15
11.10,-88.74
11.79,-88.40
11.87,-88.95
12.12,-85.16
12.85,-75.90
13.04,-76.44
13.19,-78.89
13.26,-81.30
13.19,-86.89
13.34,-84.60
13.73,-87.19
13.84,-89.92
14.01,-85.29
14.12,-87.83
14.41,-78.75
14.56,-80.65
15.07,-76.77
15.14,-82.76
15.29,-77.97
15.84,-83.11
15.87,-74.91
15.84,-85.09
15.73,-93.21
16.01,-89.16
16.39,-77.73
16.78,-82.40
16.82,-92.82
16.96,-91.64
17.19,-80.23
17.23,-79.31
17.15,-93.22
18.08,-83.05
18.36,-81.68
18.56,-85.56
18.78,-83.32
18.90,-80.45
19.15,-79.55
19.35,-85.65
19.36,-91.56
19.69,-92.95
19.80,-89.86
19.93,-93.72
20.06,-89.73
20.12,-93.88
20.42,-89.10
20.48,-94.38
21.29,-88.15
21.48,-91.64
21.66,-90.98
21.88,-94.09
22.22,-92.52
22.47,-86.34
22.72,-85.63
22.96,-85.85
23.06,-90.04
23.27,-86.12
23.31,-88.32
